"Player Name","Team","Pos","Games","PPR","1.5 TE","Half","Std","6 Pt Pass","ADP"
"Jalin Hyatt","NYG","WR","17","113.2","113.2","94.6","76.1","113.2","81"
"Michael Mayer","LVR","TE","17","117.2","140.5","93.8","70.5","117.2","19"
"Ja'Lynn Polk","FA","WR","17","112.7","112.7","93.5","74.2","112.7","71"
"Keaton Mitchell","BAL","RB","17","99.4","99.4","93.1","86.9","99.4","51"
"Tyler Conklin","NYJ","TE","17","118.0","143.0","93.0","68.0","118.0","26"
"Juwan Johnson","NO","TE","17","114.8","137.0","92.6","70.5","114.8","22"
"Chargers D/ST","LAC","D/ST","17","92.0","92.0","92.0","92.0","92.0","28"
"Xavier Legette","FA","WR","17","112.9","112.9","91.8","70.7","112.9","74"
"Lions D/ST","DET","D/ST","17","91.0","91.0","91.0","91.0","91.0","28"
"Chigoziem Okonkwo","TEN","TE","17","115.6","140.6","90.5","65.4","115.6","27"
"Tyler Allgeier","ATL","RB","17","95.5","95.5","90.2","84.9","95.5","50"
"Seahawks D/ST","SEA","D/ST","17","90.0","90.0","90.0","90.0","90.0","28"
"Devontez Walker","FA","WR","17","109.3","109.3","89.7","70.1","109.3","78"
"Rashod Bateman","BAL","WR","17","110.1","110.1","89.4","68.7","110.1","85"
"New HOU WR","HOU","WR","17","108.4","108.4","89.2","69.9","108.4",""
"New DEN RB","DEN","RB","17","101.4","101.4","89.0","76.5","101.4",""
"Eagles D/ST","PHI","D/ST","17","89.0","89.0","89.0","89.0","89.0","28"
"Braelon Allen","FA","RB","17","96.5","96.5","88.5","80.5","96.5","47"
"Falcons D/ST","ATL","D/ST","17","88.0","88.0","88.0","88.0","88.0","28"
"Darius Slayton","NYG","WR","17","106.6","106.6","87.7","68.9","106.6","92"
"Dameon Pierce","HOU","RB","17","95.4","95.4","87.6","79.8","95.4","56"
"Rams D/ST","LAR","D/ST","17","87.0","87.0","87.0","87.0","87.0","28"
"Zack Moss","IND","RB","17","93.6","93.6","85.7","77.8","93.6","49"
"DJ Chark Jr.","CAR","WR","17","103.3","103.3","85.3","67.3","103.3","117"
"New NE RB","NE","RB","17","91.6","91.6","84.8","78.1","91.6",""
"Alec Pierce","IND","WR","17","101.5","101.5","84.7","67.9","101.5","93"
"Andrei Iosivas","CIN","WR","17","104.5","104.5","84.5","64.6","104.5","84"
"New PHI RB","PHI","RB","17","92.0","92.0","84.5","76.9","92.0",""
"Panthers D/ST","CAR","D/ST","17","84.0","84.0","84.0","84.0","84.0","28"
"Audric Estime","FA","RB","17","89.6","89.6","83.6","77.6","89.6","48"
"Ja'Tavion Sanders","FA","TE","17","104.9","126.4","83.5","62.1","104.9","23"
"New TB RB","TB","RB","17","91.2","91.2","83.1","75.0","91.2",""
"Rico Dowdle","DAL","RB","17","90.5","90.5","82.3","74.1","90.5","58"
"Hunter Henry","NE","TE","17","102.8","123.5","82.2","61.6","102.8","25"
"A.T. Perry","NO","WR","17","100.6","100.6","82.1","63.6","100.6","91"
"Gus Edwards","BAL","RB","17","85.3","85.3","81.9","78.6","85.3","54"
"Miles Sanders","CAR","RB","17","93.1","93.1","81.9","70.8","93.1","60"
"New MIN RB","MIN","RB","17","88.2","88.2","81.7","75.2","88.2",""
"Antonio Gibson","WAS","RB","17","98.0","98.0","81.4","64.7","98.0","59"
"AJ Dillon","GB","RB","17","87.2","87.2","80.8","74.5","87.2","61"
"Rondale Moore","ARI","WR","17","99.6","99.6","79.9","60.2","99.6","122"
"Jaleel McLaughlin","DEN","RB","17","89.9","89.9","79.2","68.4","89.9","45"
"Trey Palmer","TB","WR","17","99.7","99.7","79.0","58.4","99.7","79"
"Malachi Corley","FA","WR","17","97.5","97.5","78.6","59.7","97.5","83"
"Kenneth Gainwell","PHI","RB","17","89.3","89.3","78.2","67.1","89.3","63"
"K.J. Osborn","MIN","WR","17","96.4","96.4","78.1","59.7","96.4","116"
"Allen Lazard","NYJ","WR","17","95.1","95.1","78.0","60.9","95.1","100"
"Alexander Mattison","MIN","RB","17","84.4","84.4","78.0","71.6","84.4","66"
"Darnell Mooney","CHI","WR","17","95.1","95.1","77.8","60.5","95.1","95"
"Jonnu Smith","ATL","TE","17","96.8","116.1","77.6","58.3","96.8","44"
"Josh Reynolds","DET","WR","17","92.9","92.9","76.8","60.8","92.9","86"
"Demarcus Robinson","LAR","WR","17","93.8","93.8","76.7","59.7","93.8","99"
"MarShawn Lloyd","FA","RB","17","82.1","82.1","76.0","70.0","82.1","53"
"New KC WR","KC","WR","17","93.1","93.1","76.0","58.9","93.1",""
"Greg Dulcich","DEN","TE","17","97.6","119.8","75.4","53.2","97.6","31"
"Luke McCaffrey","FA","WR","17","89.7","89.7","75.3","61.0","89.7","106"
"Chris Rodriguez Jr.","WAS","RB","17","79.5","79.5","74.8","70.0","79.5","67"
"Taysom Hill","NO","QB","17","84.5","84.5","74.4","64.4","85.3","39"
"Gerald Everett","LAC","TE","17","96.1","117.8","74.3","52.6","96.1","32"
"New LAR RB","LAR","RB","17","80.3","80.3","73.7","67.0","80.3",""
"New DAL WR","DAL","WR","17","89.5","89.5","73.4","57.3","89.5",""
"Cardinals D/ST","ARI","D/ST","17","73.0","73.0","73.0","73.0","73.0","28"
"Roman Wilson","FA","WR","17","89.0","89.0","72.4","55.7","89.0","77"
"Tucker Kraft","GB","TE","17","89.5","106.7","72.2","55.0","89.5","24"
"Commanders D/ST","WAS","D/ST","17","72.0","72.0","72.0","72.0","72.0","28"
"Tre Tucker","LVR","WR","17","83.1","83.1","71.0","59.0","83.1","110"
"Malik Washington","FA","WR","17","87.8","87.8","70.9","54.0","87.8","89"
"New CAR WR","CAR","WR","17","89.0","89.0","70.9","52.7","89.0",""
"New CHI WR","CHI","WR","17","87.2","87.2","70.3","53.4","87.2",""
"Ricky Pearsall","FA","WR","17","84.4","84.4","70.2","56.0","84.4","90"
"Kadarius Toney","KC","WR","17","86.9","86.9","69.7","52.6","86.9","109"
"New BUF WR","BUF","WR","17","85.0","85.0","69.7","54.4","85.0",""
"New NYJ WR","NYJ","WR","17","85.1","85.1","69.2","53.2","85.1",""
"Brenden Rice","FA","WR","17","84.6","84.6","69.1","53.6","84.6","87"
"Titans D/ST","TEN","D/ST","17","69.0","69.0","69.0","69.0","69.0","28"
"Odell Beckham Jr.","BAL","WR","17","80.0","80.0","67.6","55.2","80.0","103"
"Noah Fant","SEA","TE","17","83.0","98.8","67.2","51.3","83.0","29"
"Jermaine Burton","FA","WR","17","80.9","80.9","66.9","53.0","80.9","96"
"Elijah Mitchell","SF","RB","17","70.5","70.5","66.9","63.3","70.5","52"
"Jauan Jennings","SF","WR","17","79.5","79.5","65.4","51.3","79.5","94"
"Michael Gallup","DAL","WR","17","78.0","78.0","64.3","50.7","78.0","119"
"New NE WR","NE","WR","17","80.4","80.4","64.3","48.1","80.4",""
"New DAL RB","DAL","RB","17","69.4","69.4","64.0","58.6","69.4",""
"Johnny Wilson","FA","WR","17","77.4","77.4","63.9","50.4","77.4","112"
"Ray Davis","FA","RB","17","69.5","69.5","63.5","57.5","69.5","57"
"Justice Hill","BAL","RB","17","71.0","71.0","63.5","56.0","71.0","62"
"Will Shipley","FA","RB","17","69.4","69.4","63.4","57.4","69.4","65"
"Logan Thomas","WAS","TE","17","80.6","98.5","62.7","44.7","80.6","41"
"Michael Thomas","NO","WR","17","76.9","76.9","62.1","47.3","76.9","103"
"Tutu Atwell","LAR","WR","17","75.6","75.6","62.1","48.5","75.6","106"
"J.K. Dobbins","BAL","RB","17","67.2","67.2","62.0","56.8","67.2","55"
"Frank Gore Jr.","FA","RB","17","68.0","68.0","62.0","56.0","68.0","71"
"Emari Demercado","ARI","RB","17","67.8","67.8","60.8","53.8","67.8","115"
"New NYG RB","NYG","RB","17","66.2","66.2","60.7","55.3","66.2",""
"Cedric Tillman","CLE","WR","17","75.7","75.7","60.7","45.7","75.7","113"
"New BUF RB","BUF","RB","17","65.0","65.0","60.5","56.0","65.0",""
"Kendrick Bourne","NE","WR","17","75.2","75.2","60.4","45.7","75.2","115"
"Jeremy Ruckert","NYJ","TE","17","76.8","93.3","60.2","43.7","76.8","58"
"Tyler Higbee","LAR","TE","17","75.3","90.9","59.6","44.0","75.3","54"
