"Player","Team","Pos","Matchup","Carries","Rush YDs","Rush TDs","Targets","Receptions","Rec Yds","Rec TDs","Pass Attempts","Passing YDs","Passing TDs","Interceptions","Y/A","Sacks","Fumbles Lost","Team Total"
"Jakobi Meyers","LVR","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Tyreek Hill","MIA","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Brock Bowers","LVR","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Drake London","ATL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Adam Thielen","CAR","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"George Kittle","SF","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Trey McBride","ARI","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Jauan Jennings","SF","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jerry Jeudy","CLE","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Zay Flowers","BAL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Calvin Ridley","TEN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Darnell Mooney","ATL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Davante Adams","NYJ","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Michael Pittman Jr.","IND","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Josh Downs","IND","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Garrett Wilson","NYJ","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jaylen Waddle","MIA","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"DJ Moore","CHI","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Keenan Allen","CHI","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jalen Coker","CAR","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Kayshon Boutte","NE","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Alec Pierce","IND","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Deebo Samuel","SF","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Marvin Harrison Jr.","ARI","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jonnu Smith","MIA","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Chigoziem Okonkwo","TEN","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Parker Washington","JAX","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Rome Odunze","CHI","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Marquez Valdes-Scantling","NO","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Demario Douglas","NE","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Hunter Henry","NE","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Ricky Pearsall","SF","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Nikko Remigio","KC","WR","@ PHI","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000","25.00"
"Nick Westbrook-Ikhine","TEN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Brandin Cooks","DAL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Xavier Legette","CAR","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jake Ferguson","DAL","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Mike Gesicki","CIN","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Kyle Pitts","ATL","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Wan'Dale Robinson","NYG","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Ray-Ray McCloud III","ATL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Brenton Strange","JAX","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Juwan Johnson","NO","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Jordan Akins","CLE","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Devon Achane","MIA","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Tyler Lockett","SEA","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Austin Hooper","NE","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Foster Moreau","NO","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Andrei Iosivas","CIN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Tre Tucker","LVR","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Tyrell Shavers","BUF","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Jalen Tolbert","DAL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Noah Fant","SEA","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Cole Kmet","CHI","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Allen Lazard","NYJ","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Darius Slayton","NYG","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Tyler Conklin","NYJ","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Kendrick Bourne","NE","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Kevin Austin Jr.","NO","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Bijan Robinson","ATL","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Michael Wilson","ARI","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"D'Onta Foreman","CLE","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Elijah Moore","CLE","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"KaVontae Turpin","DAL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Adonai Mitchell","IND","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Breece Hall","NYJ","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Dante Pettis","NO","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Mike Woods","CLE","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Ja'Tavion Sanders","CAR","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Tommy Tremble","CAR","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Mason Kinsey","TEN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Daniel Bellinger","NYG","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Malik Washington","MIA","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Cedrick Wilson","NO","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Devin Duvernay","JAX","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Kylen Granson","IND","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Alexander Mattison","LVR","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Zach Charbonnet","SEA","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"David Moore","CAR","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"D'Andre Swift","CHI","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Tony Pollard","TEN","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Rico Dowdle","DAL","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Tyrone Tracy Jr.","NYG","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Clyde Edwards-Helaire","NO","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Michael Mayer","LVR","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Anthony Firkser","KC","TE","@ PHI","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000","25.00"
"Jonathan Taylor","IND","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Josh Reynolds","JAX","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Blake Corum","LAR","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Khalil Herbert","CIN","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Isaac Guerendo","SF","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Jonathan Mingo","DAL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Ryan Flournoy","DAL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Michael Carter","ARI","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Travis Etienne Jr.","JAX","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Raheem Mostert","MIA","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Charlie Woerner","ATL","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Jordan Mims","NO","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Antonio Gibson","NE","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Jake Bobo","SEA","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Greg Dortch","ARI","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"KhaDarel Hodge","ATL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jamari Thrash","CLE","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Luke Farrell","JAX","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"AJ Barner","SEA","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Bryce Oliver","TEN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Mason Tipton","NO","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Rhamondre Stevenson","NE","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Blake Whiteheart","CLE","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"John Kelly","CLE","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Drew Sample","CIN","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Miles Sanders","CAR","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Elijah Higgins","ARI","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Anthony Gould","IND","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Kyle Juszczyk","SF","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Josh Whyle","TEN","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Terrace Marshall Jr.","LVR","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Braelon Allen","NYJ","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Nick Vannett","TEN","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Jalin Hyatt","NYG","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jeremy Ruckert","NYJ","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Zay Jones","ARI","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Kenny Yeboah","NYJ","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Kenny McIntosh","SEA","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Tim Jones","JAX","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Mo Alie-Cox","IND","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Hunter Luepke","DAL","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Trayveon Williams","CIN","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Cam Grandy","CIN","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Jalen Brooks","DAL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Javon Baker","NE","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Isaiah Davis","NYJ","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Jermaine Jackson","NO","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"K.J. Osborn","WAS","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"K.J. Osborn","WAS","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Devin Singletary","NYG","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"DeeJay Dallas","ARI","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Dan Chisena","CAR","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"River Cracraft","MIA","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Roschon Johnson","CHI","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Julian Hill","MIA","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Tip Reiman","ARI","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Gerald Everett","CHI","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Eric Saubert","SF","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Alec Ingold","MIA","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Josiah Deguara","JAX","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Tank Bigsby","JAX","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Brycen Tremayne","WAS","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Tyler Allgeier","ATL","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Durham Smythe","MIA","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Jermaine Burton","CIN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Deuce Vaughn","DAL","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Chris Conley","SF","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Malachi Corley","NYJ","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Ja'Lynn Polk","NE","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Xavier Gipson","NYJ","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Trey Sermon","IND","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Jamaal Williams","NO","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Dallin Holker","NO","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Pharaoh Brown","SEA","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Julius Chestnut","TEN","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Jacob Kibodi","CLE","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Jaheim Bell","NE","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Ashton Dulin","IND","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Luke Schoonmaker","DAL","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Raheem Blackshear","CAR","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Chris Collier","LVR","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Dylan Laube","LVR","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Ezekiel Elliott","DAL","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"D'Ernest Johnson","JAX","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Ramel Keyton","LVR","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Andrew Ogletree","IND","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Greg Dulcich","NYG","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Greg Dulcich","NYG","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Tyler Goodson","IND","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Ben Skowronek","PIT","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Dee Eskridge","MIA","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Velus Jones Jr.","CAR","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Rasheen Ali","BAL","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"James Proche","CLE","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Scott Miller","PIT","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jacob Cowing","SF","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Brenden Bates","CLE","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Isaiah Williams","CIN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Brevyn Spann-Ford","DAL","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Patrick Taylor","SF","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Chris Manhertz","NYG","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Chris Manhertz","NYG","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Harrison Bryant","LVR","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Will Mallory","IND","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Feleipe Franks","CAR","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Chris Blair","ATL","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jermar Jefferson","DET","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"JaMycal Hasty","NE","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Mike Boone","CAR","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Adam Prentice","NO","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"George Holani","SEA","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Ross Dwelley","ATL","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Collin Johnson","CHI","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Marcedes Lewis","CHI","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Brayden Willis","SF","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Sione Vaki","DET","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Travis Homer","CHI","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Eric Gray","NYG","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Jeff Wilson Jr.","MIA","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Tanner McLachlan","CIN","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
