"Player Name","Team","Pos","Games","PPR","1.5 TE","Half","Std","6 Pt Pass","ADP"
"Lamar Jackson","BAL","QB","17","373.8","373.8","373.8","373.8","439.0","2"
"Josh Allen","BUF","QB","17","371.9","371.9","371.9","371.9","434.5","1"
"Jayden Daniels","WAS","QB","17","370.6","370.6","370.6","370.6","429.7","3"
"Jalen Hurts","PHI","QB","17","358.6","358.6","358.6","358.6","408.9","4"
"Joe Burrow","CIN","QB","17","351.4","351.4","351.4","351.4","432.6","5"
"Patrick Mahomes","KC","QB","17","312.6","312.6","312.6","312.6","371.2","6"
"Kyler Murray","ARI","QB","17","310.8","310.8","310.8","310.8","357.2","8"
"Baker Mayfield","TB","QB","17","310.7","310.7","310.7","310.7","378.9","7"
"Bo Nix","DEN","QB","17","310.2","310.2","310.2","310.2","369.7","9"
"Caleb Williams","CHI","QB","17","301.0","301.0","301.0","301.0","353.6","12"
"Dak Prescott","DAL","QB","17","297.0","297.0","297.0","297.0","359.5","13"
"Justin Fields","NYJ","QB","17","294.6","294.6","294.6","294.6","333.4","10"
"Saquon Barkley","PHI","RB","17","309.4","309.4","293.9","278.4","309.4","1"
"Jared Goff","DET","QB","17","293.9","293.9","293.9","293.9","356.3","14"
"Brock Purdy","SF","QB","17","290.5","290.5","290.5","290.5","340.4","11"
"Bijan Robinson","ATL","RB","17","319.2","319.2","289.9","260.6","319.2","2"
"Jordan Love","GB","QB","17","289.7","289.7","289.7","289.7","349.2","17"
"Justin Herbert","LAC","QB","17","289.1","289.1","289.1","289.1","337.7","16"
"Ja'Marr Chase","CIN","WR","17","341.4","341.4","284.4","227.3","341.4","1"
"J.J. McCarthy","MIN","QB","17","281.9","281.9","281.9","281.9","342.7","18"
"Drake Maye","NE","QB","17","280.2","280.2","280.2","280.2","325.9","15"
"Trevor Lawrence","JAX","QB","17","276.5","276.5","276.5","276.5","324.2","18"
"CJ Stroud","HOU","QB","17","274.8","274.8","274.8","274.8","320.6","20"
"Jahmyr Gibbs","DET","RB","17","296.1","296.1","270.3","244.5","296.1","3"
"Bryce Young","CAR","QB","17","265.6","265.6","265.6","265.6","309.9","23"
"Matthew Stafford","LAR","QB","17","261.4","261.4","261.4","261.4","314.0","24"
"Tua Tagovailoa","MIA","QB","17","259.5","259.5","259.5","259.5","315.4","22"
"Justin Jefferson","MIN","WR","17","305.0","305.0","255.4","205.7","305.0","2"
"Michael Penix Jr.","ATL","QB","17","254.9","254.9","254.9","254.9","303.8","21"
"CeeDee Lamb","DAL","WR","17","308.4","308.4","253.9","199.4","308.4","3"
"Christian McCaffrey","SF","RB","17","285.8","285.8","251.2","216.5","285.8","4"
"Geno Smith","LVR","QB","17","250.0","250.0","250.0","250.0","295.1","25"
"Ashton Jeanty","LVR","RB","17","270.7","270.7","247.9","225.2","270.7","5"
"Cam Ward","TEN","QB","17","239.1","239.1","239.1","239.1","281.8","26"
"Aaron Rodgers","PIT","QB","17","237.2","237.2","237.2","237.2","285.4","28"
"Malik Nabers","NYG","WR","17","289.8","289.8","234.4","179.0","289.8","5"
"Puka Nacua","LAR","WR","17","282.9","282.9","233.1","183.2","282.9","4"
"Amon-Ra St. Brown","DET","WR","17","284.3","284.3","229.8","175.3","284.3","6"
"Tyler Shough","NO","QB","17","229.6","229.6","229.6","229.6","271.1","31"
"Derrick Henry","BAL","RB","17","234.3","234.3","226.7","219.0","234.3","6"
"Nico Collins","HOU","WR","17","272.0","272.0","225.9","179.8","272.0","7"
"Brian Thomas Jr.","JAX","WR","17","269.7","269.7","224.4","179.0","269.7","8"
"Sam Darnold","SEA","QB","17","223.3","223.3","223.3","223.3","265.9","27"
"Anthony Richardson","IND","QB","17","221.4","221.4","221.4","221.4","255.8","30"
"Daniel Jones","IND","QB","17","216.3","216.3","216.3","216.3","250.7","29"
"Devon Achane","MIA","RB","17","241.3","241.3","211.8","182.3","241.3","7"
"Jonathan Taylor","IND","RB","17","220.0","220.0","211.4","202.8","220.0","8"
"Bucky Irving","TB","RB","17","231.6","231.6","210.5","189.4","231.6","9"
"Josh Jacobs","GB","RB","17","222.7","222.7","207.1","191.4","222.7","10"
"A.J. Brown","PHI","WR","17","243.5","243.5","203.1","162.6","243.5","10"
"Chase Brown","CIN","RB","17","218.9","218.9","200.4","181.9","218.9","11"
"Drake London","ATL","WR","17","244.3","244.3","199.5","154.7","244.3","9"
"Ladd McConkey","LAC","WR","17","243.8","243.8","199.1","154.3","243.8","11"
"Brock Bowers","LVR","TE","17","251.8","304.7","198.9","146.0","251.8","1"
"Jaxson Dart","NYG","QB","17","198.0","198.0","198.0","198.0","231.3","32"
"Breece Hall","NYJ","RB","17","217.6","217.6","195.1","172.6","217.6","13"
"James Cook","BUF","RB","17","209.0","209.0","193.6","178.2","209.0","14"
"Kyren Williams","LAR","RB","17","205.9","205.9","192.9","179.9","205.9","12"
"Tee Higgins","CIN","WR","17","228.4","228.4","191.7","154.9","228.4","12"
"Omarion Hampton","LAC","RB","17","206.9","206.9","191.1","175.3","206.9","15"
"Trey McBride","ARI","TE","17","241.5","293.9","189.1","136.7","241.5","2"
"Tyreek Hill","MIA","WR","17","227.0","227.0","188.6","150.3","227.0","16"
"Ken Walker","SEA","RB","17","207.0","207.0","188.6","170.1","207.0","18"
"Joe Mixon","HOU","RB","17","203.3","203.3","187.7","172.1","203.3","16"
"Marvin Harrison Jr.","ARI","WR","17","224.7","224.7","187.0","149.3","224.7","15"
"Chuba Hubbard","CAR","RB","17","204.2","204.2","186.9","169.5","204.2","17"
"Alvin Kamara","NO","RB","17","214.2","214.2","186.4","158.6","214.2","20"
"TreVeyon Henderson","NE","RB","17","205.8","205.8","186.2","166.7","205.8","21"
"Garrett Wilson","NYJ","WR","17","227.3","227.3","185.2","143.2","227.3","14"
"Rashee Rice","KC","WR","15","227.4","227.4","184.5","141.5","227.4","12"
"RJ Harvey","DEN","RB","17","202.0","202.0","182.1","162.1","202.0","19"
"Terry McLaurin","WAS","WR","17","218.2","218.2","181.7","145.2","218.2","17"
"James Conner","ARI","RB","17","199.0","199.0","181.6","164.3","199.0","22"
"David Montgomery","DET","RB","17","192.9","192.9","181.4","169.8","192.9","23"
"Jaxon Smith-Njigba","SEA","WR","17","225.5","225.5","181.3","137.1","225.5","18"
"Davante Adams","LAR","WR","17","219.3","219.3","179.3","139.2","219.3","19"
"Mike Evans","TB","WR","17","209.2","209.2","177.5","145.7","209.2","20"
"Xavier Worthy","KC","WR","17","209.4","209.4","175.2","141.0","209.4","22"
"DJ Moore","CHI","WR","17","212.7","212.7","174.0","135.2","212.7","23"
"DK Metcalf","PIT","WR","17","204.9","204.9","170.2","135.5","204.9","25"
"DeVonta Smith","PHI","WR","17","207.6","207.6","169.9","132.2","207.6","27"
"Tetairoa McMillan","CAR","WR","17","206.3","206.3","169.4","132.4","206.3","21"
"George Kittle","SF","TE","17","204.6","240.8","168.5","132.3","204.6","3"
"Kaleb Johnson","PIT","RB","17","176.5","176.5","168.0","159.4","176.5","25"
"Jameson Williams","DET","WR","17","195.6","195.6","167.6","139.6","195.6","24"
"Travis Hunter","JAX","WR","17","203.8","203.8","167.2","130.5","203.8","26"
"Quinshon Judkins","CLE","RB","17","178.7","178.7","165.4","152.1","178.7","24"
"George Pickens","DAL","WR","17","194.6","194.6","163.1","131.5","194.6","29"
"Jaylen Waddle","MIA","WR","17","197.2","197.2","162.1","127.0","197.2","31"
"Zay Flowers","BAL","WR","17","196.6","196.6","161.8","127.1","196.6","30"
"Jordan Addison","MIN","WR","17","194.4","194.4","161.3","128.1","194.4","34"
"Rome Odunze","CHI","WR","17","194.8","194.8","160.7","126.7","194.8","33"
"Courtland Sutton","DEN","WR","17","193.3","193.3","160.7","128.0","193.3","28"
"Calvin Ridley","TEN","WR","17","192.9","192.9","159.8","126.6","192.9","32"
"Chris Olave","NO","WR","17","194.2","194.2","158.6","123.1","194.2","37"
"D'Andre Swift","CHI","RB","17","177.9","177.9","157.1","136.4","177.9","26"
"Jerry Jeudy","CLE","WR","17","192.0","192.0","156.8","121.6","192.0","38"
"Chris Godwin","TB","WR","17","191.8","191.8","155.9","120.0","191.8","36"
"Aaron Jones","MIN","RB","17","172.4","172.4","155.2","137.9","172.4","29"
"Deebo Samuel","WAS","WR","17","183.3","183.3","154.8","126.4","183.3","39"
"Tony Pollard","TEN","RB","17","169.3","169.3","151.0","132.8","169.3","27"
"Jauan Jennings","SF","WR","17","184.6","184.6","150.1","115.5","184.6","35"
"Jakobi Meyers","LVR","WR","17","180.3","180.3","144.6","108.9","180.3","40"
"Sam LaPorta","DET","TE","17","176.7","209.0","144.4","112.1","176.7","4"
