season,week,posteam,full_name,targets std,ypr std,catch rate std,rec std,rec yards std,rush std,rush yards std,ypc std,rec tds std,rush tds std,Pos,ypa std,pass attempt std,completions std,pass yards std,pass td std,int std
2015,17,LAC,Malcom Floyd,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2014,17,SF,Brandon Lloyd,1.382833747,3.362458623,0.150532631,0.847132626,10.19859879,0.265134906,1.797591175,1.501215243,0.132983234,0.016654866,WR,0,0,0,0,0,0
2016,18,DET,Anquan Boldin,1.791396519,3.331962589,0.124185825,1.219657883,12.77788066,0.278314544,1.530133556,1.061166448,0.183926878,0.033486881,WR,0,0,0,0,0,0
2015,17,IND,Andre Johnson,2.018546352,3.383297009,0.11777899,1.212714073,15.10250085,0.965729096,4.519661132,1.738329552,0.179198855,0.036560329,WR,0,0,0,0,0,0
2013,17,DET,Nate Burleson,1.555829555,3.596768434,0.129945165,0.986510357,12.65375022,0.244384059,1.74321265,1.43071743,0.172002822,0.022539941,WR,0,0,0,0,0,0
2012,19,HOU,Kevin Walter,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2012,20,NE,Deion Branch,1.596516343,3.514549737,0.118743153,1.048591965,12.07065807,0.377634412,2.854902575,1.894773119,0.178523203,0.037971228,WR,0,0,0,0,0,0
2014,20,IND,Reggie Wayne,1.350630529,3.591106193,0.127954618,0.768427397,8.5180256,0.544088071,4.694539048,2.35290886,0.141422351,0.053560321,WR,0,0,0,0,0,0
2014,17,WAS,Santana Moss,1.350630529,3.591106193,0.127954618,0.768427397,8.5180256,0.544088071,4.694539048,2.35290886,0.141422351,0.053560321,WR,0,0,0,0,0,0
2016,17,BAL,Steve Smith,1.791396519,3.331962589,0.124185825,1.219657883,12.77788066,0.278314544,1.530133556,1.061166448,0.183926878,0.033486881,WR,0,0,0,0,0,0
2013,14,BAL,Brandon Stokley,1.382833747,3.362458623,0.150532631,0.847132626,10.19859879,0.265134906,1.797591175,1.501215243,0.132983234,0.016654866,WR,0,0,0,0,0,0
2012,21,SF,Randy Moss,1.350630529,3.591106193,0.127954618,0.768427397,8.5180256,0.544088071,4.694539048,2.35290886,0.141422351,0.053560321,WR,0,0,0,0,0,0
2012,16,GB,Donald Driver,1.482098959,3.590709977,0.124256309,1.001579222,12.31740748,0.203196694,1.943892262,1.50821107,0.13935206,0.037439111,WR,0,0,0,0,0,0
2024,15,ARI,Trey Benson,1.395896251,2.859079775,0.209229186,1.075739262,10.20018792,2.797173738,11.27542899,1.047473311,0.095484375,0.159819714,RB,0,0,0,0,0,0
2024,21,BUF,Ray Davis,1.470988475,2.667068391,0.19532842,1.146975509,10.12909018,2.929913728,11.93576811,1.398451286,0.108515837,0.143755388,RB,0,0,0,0,0,0
2024,18,MIA,Jaylen Wright,1.101420097,3.096859085,0.227839479,0.886313637,7.754738075,2.391741519,9.034270215,1.054296491,0.069635087,0.13979685,RB,0,0,0,0,0,0
